Year,Land Coverage,Surface Temperature Change,BC,CO,NH3,NMVOC,NOx,OC,PM10,PM2.5,SO2,CO2,CH4,N2O
1992,1074.9377093784747,0.23800000000000038,1.4221082735213706,248.20683664098513,152.34502679751947,52.52180267944113,63.88344920003889,3.0205180119012076,18.661109678479743,11.538300359352991,60.7096953023436,109230.63080122975,601.7467874739485,25.363199286141853
1993,1074.9485395569643,0.09512499999999992,1.3487772617037508,242.14620902401887,151.13624572719132,50.88490479152155,61.974753477132595,2.9264242900072905,17.49909572178796,10.679597223997947,55.146631330216195,106044.94912729303,593.1062780379687,25.194493842755858
1994,1074.9517577303104,1.183625000000001,1.317833801343952,240.7668027908664,150.8621127860202,50.82053589976246,62.586301708858436,2.8847021352951856,17.171080788899648,10.382684859007423,54.10231072267826,105739.886053481,592.0239416970825,25.20032493638677
1995,1074.967084953365,0.6633750000000002,1.2245555384779045,229.7840923835314,151.79515896268052,49.79374494705476,63.65671037884138,2.6047401294229475,16.26823679046903,9.565252524569662,53.8082300218336,111171.2157709543,597.2012138350107,25.98096163764598
1996,1074.9938818285232,0.3404999999999999,1.307413362709983,230.4558032666435,158.23708350861835,51.62578257315214,64.07285915413291,2.81887647257716,17.888251771617607,10.408257749142836,50.866499031340325,109315.90019697954,608.0304921859993,26.6691481991543
1997,1074.9828627320799,0.8018749999999998,1.3221065540934664,218.71154359923824,155.27225693309632,49.97836572606858,64.21216371297785,2.7678476315341647,17.56384092815923,10.333290408151036,51.32837067642393,113330.32747689233,621.7465669676087,26.67204949941508
1998,1074.9871103222429,0.9579999999999996,1.3083745743041997,211.66763190471693,159.75101822989805,49.58508004206794,65.56993897499906,2.8274195997946263,17.453052695208605,10.236066559228421,47.53597252794705,117203.99839296936,627.2879359980677,27.334963800291685
1999,1075.004940946405,0.7828750000000014,1.3119341597914809,198.70610731384278,161.79896435775697,49.22388834755165,67.40798963920999,2.826922052662948,17.76687920045895,10.383300909828874,46.38773744059275,121672.74063271744,630.7550863652542,27.3794863237211
2000,1075.0071396912933,0.9656250000000013,1.3480417604277914,185.06972051952795,161.76688322631355,48.77908074549498,66.80165075268347,2.852419312503983,17.966314601915386,10.433716125903764,46.07428829294972,125575.8152974879,636.8575386930916,27.383838384899605
2001,1074.990592158176,1.4082499999999993,1.3248376142321636,171.7312109253579,156.51919017878296,47.38550161992726,65.275676487857,2.684202291812957,17.617284207140194,10.023415065419709,43.54778368268215,125886.80895671804,619.2536764836733,26.67444166235356
2002,1075.0302284062245,0.759374999999999,1.281789849338374,162.91547857524483,160.01724164432605,46.73409466836246,65.87365918409913,2.7720234564588577,17.387844360539034,9.88897687166862,43.79838529354734,130510.14087476864,627.7665728490139,26.77798481636063
2003,1075.0165085217548,1.215125,1.3160962831207024,148.55467181035155,160.12461043748303,46.308993575085985,65.94981059598935,2.533286991195667,17.23328846937256,9.614644078462868,42.89341374804191,134980.34937978297,624.7076116687801,26.92727075996283
2004,1075.0217481769364,0.7152500000000016,1.3105561851092757,140.65807443548175,156.8186765354602,45.75020681423444,64.3736461777647,2.8697567462921416,17.37915648629374,9.828495199402909,40.377523238177154,138694.01445830858,614.267125672254,26.430767385671206
2005,1074.9522747161432,0.5568749999999999,1.228578818041341,123.9591160881391,152.2771792583759,44.63971271215161,62.304106887244316,2.6354143932893237,16.872662715117528,9.362905398163262,38.58847206414232,142434.54608173345,610.9846985364876,25.57083222994407
2006,1074.9206945292874,0.9406250000000007,1.2392067078125089,115.0931389695663,154.46917493347348,46.46613120929112,59.86317806721976,2.543106712892514,16.788137231175575,9.14227317723849,36.61436051470839,140585.8849247846,609.7038475958308,23.17778497468183
2007,1074.8918937842361,1.2074999999999991,1.2656147551641816,110.02575875031542,156.67082988984592,46.56105630421889,59.70957043264337,2.6048803169974923,17.467224336421456,9.655847807493972,36.54245194431302,143088.43275642494,613.0778138172502,23.31159947430908
2008,1074.9651549868454,1.0172500000000009,1.2255112879234622,102.13458260673147,149.320484792206,43.68001401562093,56.547569633860874,2.6844049892216892,17.34848779626021,9.59422948522758,33.97928872745905,137854.45052626135,604.5926419890152,21.539581303837174
2009,1074.932511848328,1.177625,1.1452279867736754,89.52041307781231,151.73303559330148,42.33333403805253,51.87909258375383,2.404896013837774,16.18087427631115,8.630258849360997,29.342471394934705,126394.97909031568,608.2296989142785,21.185070269884097
2010,1074.9640068081417,1.1348749999999994,1.1320347509286526,82.340116070279,153.50764367627022,42.25223120303822,50.109326591006344,2.4062531545928714,16.41146755152164,8.75553753428109,28.246878456195255,124724.35039640557,598.5834107735798,21.42569163902599
